Grapheme	IPA
ɛː	ɛː
ɜ	ɜ
ɥ	ɥ
ɨ	ɨ
ɪʲa	ɪ j a
ɪʲe	ɪ j e
ɶ	ɶ
ɸ̚	ɸ̚
ɾ̚	ɾ̚
ʉ:	ʉː
ʊ:	ʊː
ʊʷe	ʊ w e
ʍ	ʍ
ʙʳ	ʙʳ
ʝ	ʝ
ʰ	h
ʰo	h o
ʱ	ɦ
ʲ	j
ʷ	w
ʷl	ʷl
ˤ	ʕ
ᵈ	d
ᵉ	e
ᵐj	ⁿj
ᵐk	ⁿk
ᵐl	ⁿl
ᵐpʰ	ⁿpʰ
ᵐs	ⁿs
ᵘ	u
ᶯ	ɳ
ᶰd	ⁿd
ᶰs	ⁿs
ⁱ	i
ɪ:	ɪː
ᵃ	a
m̃	m
m̈	m
p̃	p
y	j
č	tʃ
ˀ	ʔ
'	ʔ
&	ʔ
tˢ	ts
v̈	v
a·	a·
ⁿḍ	ⁿḍ
|	|
ā	aː
í	i
...	+
i·	i·
ü	u
p̈	p
u̥	u
nǰ	nʲ
r̥	r̥
n̥	n̥
ŋ̥	ŋ
m̥	m
nw̥	nʷ
m̥ʷ	mʷ
ṁ	m
l̥	l̥
w̥	w
r̃	r̃
e·	e·
e*	e·
#	ʔ
u·	u·
ṭ	ṭ
o·	o·
ɔ·	ɔ·
uˑ	uˑ
ä	a
na-ːmi	n a + m i
t˺	t̚
p˺	p̚
0mial	+ m i a l
Y	j
ʤ	dʒ
T	t
b̃	b
ū	uː
ì	i
æ̃	æ̃
o̥	o̥
e̥	e̥
i̥	i̥
ã:	ãː
ɛ̃:	ɛ̃ː
ú	u
ɛɛ:	ɛː
^naᵐ$	na
batina	ⁿb a t i n a
ʀ	ʀ
ō	oː
ī	iː
ē	eː
̃pur	p u r
lʊlʊ	l ʊ l ʊ
Vb1	NULL
ê	eː
ô	oː
ŋ͡mʷ	ŋmʷ
ŋ​͡mʷ	ŋmʷ
k​͡pʷ	kpʷ
ó	o
óó	oː
éé	eː
é	e
+	+
