ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source,Doubt
leme1238-165_badevil-1,leme1238-165_badevil-1,badevil-1,,,Greenhilletal2008,False
daka1243-165_badevil-1,daka1243-165_badevil-1,badevil-1,,,Greenhilletal2008,False
lele1267-165_badevil-1,lele1267-165_badevil-1,badevil-1,,,Greenhilletal2008,False
paam1238-165_badevil-1,paam1238-165_badevil-1,badevil-1,,,Greenhilletal2008,False
tutu1241-165_badevil-1,tutu1241-165_badevil-1,badevil-1,,,Greenhilletal2008,False
tang1347-165_badevil-1,tang1347-165_badevil-1,badevil-1,,,Greenhilletal2008,False
kwam1252-165_badevil-1,kwam1252-165_badevil-1,badevil-1,,,Greenhilletal2008,False
sout2869-165_badevil-1,sout2869-165_badevil-1,badevil-1,,,Greenhilletal2008,False
malo1243-165_badevil-1,malo1243-165_badevil-1,badevil-1,,,Greenhilletal2008,False
vure1239-165_badevil-1,vure1239-165_badevil-1,badevil-1,,,Greenhilletal2008,False
vera1241-165_badevil-1,vera1241-165_badevil-1,badevil-1,,,Greenhilletal2008,False
cent2058-165_badevil-1,cent2058-165_badevil-1,badevil-1,,,Greenhilletal2008,False
nort2847-165_badevil-1,nort2847-165_badevil-1,badevil-1,,,Greenhilletal2008,False
mota1237-165_badevil-1,mota1237-165_badevil-1,badevil-1,,,Greenhilletal2008,False
lame1260-165_badevil-1,lame1260-165_badevil-1,badevil-1,,,Greenhilletal2008,False
mafe1237-165_badevil-1,mafe1237-165_badevil-1,badevil-1,,,Greenhilletal2008,False
whit1269-165_badevil-1,whit1269-165_badevil-1,badevil-1,,,Greenhilletal2008,False
tolo1255-165_badevil-1,tolo1255-165_badevil-1,badevil-1,,,Greenhilletal2008,False
bign1238-165_badevil-1,bign1238-165_badevil-1,badevil-1,,,Greenhilletal2008,False
ling1265-165_badevil-1,ling1265-165_badevil-1,badevil-1,,,Greenhilletal2008,False
rere1240-165_badevil-1,rere1240-165_badevil-1,badevil-1,,,Greenhilletal2008,False
unua1237-165_badevil-1,unua1237-165_badevil-1,badevil-1,,,Greenhilletal2008,False
malu1245-165_badevil-1,malu1245-165_badevil-1,badevil-1,,,Greenhilletal2008,False
maee1241-165_badevil-1,maee1241-165_badevil-1,badevil-1,,,Greenhilletal2008,False
urip1239-165_badevil-1,urip1239-165_badevil-1,badevil-1,,,Greenhilletal2008,False
mask1242-165_badevil-1,mask1242-165_badevil-1,badevil-1,,,Greenhilletal2008,False
hano1246-165_badevil-1,hano1246-165_badevil-1,badevil-1,,,Greenhilletal2008,False
mari1426-165_badevil-1,mari1426-165_badevil-1,badevil-1,,,Greenhilletal2008,False
saaa1241-165_badevil-2,saaa1241-165_badevil-2,badevil-100,,,Greenhilletal2008,False
daka1243-165_badevil-1,daka1243-165_badevil-1,badevil-100,,,Greenhilletal2008,False
lame1260-165_badevil-1,lame1260-165_badevil-1,badevil-100,,,Greenhilletal2008,False
seke1241-165_badevil-1,seke1241-165_badevil-1,badevil-101,,,Greenhilletal2008,False
seke1241-165_badevil-2,seke1241-165_badevil-2,badevil-101,,,Greenhilletal2008,False
